Nama_Produk,Harga
Laptop Acer Predator Helios Neo 16 AI Intel COre Ultra 9 275HX GeForce RTX 5070TI 12 GB RAM 32 GB SSD 1 TB Windows 11 + Office,38099000
"Laptop HP Omnibook 5 AI 16 Intel Core Ultra 5 225 RAM 16 GB SSD 1 Tb Windows 11 + Office Home Student 16"" 2K",13999000
Laptop HP Omnibook 7 AERO 13 AMD Ryzen AI 7 350 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 13.3 WQXGA IPS,15249000
XIAOMI SMART PROJECTOR L1 PRO EU GARANSI RESMI,3979000
"Laptop Acer Swift Lite 14 SFL14 AMD Ryzen 5 240 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",11399000
"Laptop Advan Workplus AMD Ryzen 7 7735HS RAM 16 GB SSD 512 GB Windows 11 14"" Full HD UPS",8099000
LG MONITOR 24 INCH 24U411A-B IPS FHD 1080P 1MS HDR 10 120HZ 4 SIDE BORDERLESS 3Y,1289000
"Laptop MSI Modern 14 Intel COre I3 1315U RAM 8 GB SSD 512 gb Windows 14""  Full HD",5899000
Laptop Lenovo LOQ 15 AMD Ryzen 5 220 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144 Hz 100 Srgb,16699000
Laptop Lenovo LOQ 15 AMD Ryzen 7 250 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144 Hz 100 Srgb,18699000
PC Desktop All in One LENOVO AIO IDEACENTRE 24 INTEL CORE I5 13420H RAM 8GB SSD 1 TB W11+OHS 23.8 Full HD,10799000
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 8GB SSD 512 GB Windows 11 + Office Home Student 14"" inch FHD IPS",6049000
"Laptop Lenovo Ideapad Slim 5 14 OLED AMD Ryzen AI 7 350 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",13399000
LG SMART MONITOR 32 INCH 32U889SA-W IPS 4K 2160P 5MS 60HZ USB-C TOUCH SCREEN ROLLING STAND SPEAKER ERGONOMIC WEBOS WHITE 3Y,13499000
Laptop ASUS Vivobook A1405VA Intel Core i5 13420H RAM 16 GB SSD 512 GB Windows 11 + Office HOme student,9069000
LG MONITOR CURVED 24 INCH 24U421A-B 27 INCH 27U421A-B VA FHD 1080P 5MS 100HZ USB-C BLACK 3Y,1399000
"Laptop ASUS GAMING V16 V3607VH Intel Core 5 210H GeForce RTX 5050 8GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" Inch WUXGA 144Hz Refresh Rate",14969000
Laptop MSI Summit A16 AI+ Touch Screen AMD Ryzen AI 9 365 RAM 32 GB SSD 1 TB Windows 11 + Office Home Student,22899000
SKYWORTH GAMING MONITOR 27 INCH H27G30Q FAST IPS QHD 2K 1440P 1MS 180HZ HDR10 3Y,2639000
"Laptop Acer Swift Go OLED SFG14 Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" WUXGA 90 Hz EVO",17399000
"Laptop Acer Swift Go OLED SFG14 Intel Core Ultra 5 226V RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" WUXGA 90 Hz EVO",14499000
"Laptop Acer Aspire Lite AL15 AMD Ryzen 7 8840HS RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15"" Full HD IPS",10749000
"Laptop Lenovo V14 G4 Intel Core i7 13620H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" FHD IPS",10799000
"Laptop ASUS TUF FA607NUG AMD Ryzen 7 7445HS RAM 16 GB SSD 512 Gb Windows 11 + Office Home Student 15.6"" FHD+ IPS 144 Hz",15499000
"Laptop ASUS Expertbook P5405CSA Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WQXGA 100 Srgb",17399000
"Laptop HP 14 Intel Core i3 1315U RAM 4 GB / 8 GB SSD 512 GB WIndows 11 + Office Home Student 14"" Full HD CoPillot",6199000
"Laptop Lenovo Ideapad SLim 3 14 INtel Celeron N100 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD",5049000
Motopad 60 Lite - 4GB/128GB - Helio G85 - 10.1 inch - 400nits - Dolby Atmos - 5100mAh,1799000
Motopad 60 Pro - 8GB/256GB - Dimensity 8300 - 12.7 inch - 3K 400nits 144Hz - JBL with Dolby Atmos - 10200mAh - With Moto Pen Pro,5899000
"Laptop Acer nitro V15 AMD Ryzen 7 7445HS GeForce rtx 4050 6 GB RAM 16 GB SSD 512 GB + Windows + Office HOme Student 15.6"" Full HD 180 Hz 100 SRGB",14399000
"Laptop Acer Nitro Lite 16 Core 7 240H GeForce RTX 3050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180 Hz 100 Srgb",12749000
"Laptop Acer Nitro V 16S AMD Ryzen AI 9 365 GeForce RTX 5060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WQXGA 180 Hz 100 Srgb",24999000
"Laptop Acer Nitro V 16S AMD Ryzen AI 9 365 GeForce RTX 5070 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WQXGA 180 Hz 100 Srgb",26999000
"Laptop Acer Aspire Lite AL15 AMD Ryzen 7 7730U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 15"" Full HD IPS",8119000
"Laptop Acer Aspire Go 14 AG 14 Intel Core i3 1315 RAM 8 GB / 16 GB SSD 256 gb / 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",6099000
CONSOLE PC HANDHELD ACER NITRO BLAZE 7 RYZEN 7 8840HS 16GB 512GB W11 7.0FHD 144HZ BLK,10499000
LENOVO LEGION GAMING MONITOR 25 INCH R25F-30 VA FHD 1080P 0.5MS 240HZ ERGONOMIC SPEAKER 3Y,2999000
"Laptop ASUS TUF A16 FA608UH AMD Ryzen 7 260 GeForce RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 165Hz 100",18319000
Laptop Lenovo LOQ 15 Intel Core i7 13650HX RTX 4050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz 100 Srgb,16199000
Laptop Lenovo Loq 15 Intel Core I5 13450HX Geforce RTX 3050 6 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz 100 Srgb,13199000
Laptop Lenovo LOQ 15 Intel Core i7 13650HX RTX 4060 8 GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 Full HD 144Hz 100 Srgb,18999000
"Laptop ACER ASPIRE LITE AL15 AMD RYZEN 5 7430 RAM 8GB SSD 512GB Windows 11 + Office Home Student 15"" fhd",6899000
"Laptop HP 14 Intel Core Core 5 120U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD Backlight CoPilot",8399000
"ASUS Expertcenter All In One Desktop EG3408WVAK i5 1335 RAM 8 GB / 16 GB SSD 512 GB Windows 11 23.8"" FHD",11899000
"Laptop Lenovo V15 G5 Intel COre I5 13420H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" FUll HD IPS",8299000
"Laptop Lenovo V15 G5 Intel COre i3 1315 RAM 8 GB SSD 512 GB Windows 11 + Office HOme Student 15.6"" FUll HD IPS",6499000
"Laptop Lenovo Ideapad Slim 5 14 OLED intel Core Ultra 5 225H RAm 16GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",12599000
"Laptop Lenovo Ideapad Slim 5 14 OLED Intel Core Ultra 7 255H RAm 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",14699000
"Laptop ASUS Vivobook 14 M1405YA AMD Ryzen 7 7730 RAM 16 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WUXGA VIPS",10669000
