Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
HP 17,Intel Core Ultra 7 255U,32GB RAM,Intel Graphics (4-Cores),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,117900,https://laptopmedia.com/laptop-specs/hp-17-22005/,https://www.amazon.com/exec/obidos/ASIN/B0FLDR4G5J?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-1215U,32GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,72999,https://laptopmedia.com/laptop-specs/hp-17-21920/,https://www.amazon.com/exec/obidos/ASIN/B0FP6RWHK4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,AMD Ryzen 7 7730U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,53900,https://laptopmedia.com/laptop-specs/hp-15-24695/,https://www.amazon.com/exec/obidos/ASIN/B0FJXQR8NJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i3-N305,8GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",256GB SSD,49999,https://laptopmedia.com/laptop-specs/hp-17-21786/,https://www.amazon.com/exec/obidos/ASIN/B0FKGY4SYC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Celeron N4500,32GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"14.0”, HD (1366 x 768), TN",1000GB SSD,46900,https://laptopmedia.com/laptop-specs/hp-14-10483/,https://www.amazon.com/exec/obidos/ASIN/B0FNMMPJBV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,32999,https://laptopmedia.com/laptop-specs/hp-14-10456/,https://www.amazon.com/exec/obidos/ASIN/B0FPYWD3JF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,35149,https://laptopmedia.com/laptop-specs/hp-14-10430/,https://www.amazon.com/exec/obidos/ASIN/B0FPXXQN2V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,29999,https://laptopmedia.com/laptop-specs/hp-14-10411/,https://www.amazon.com/exec/obidos/ASIN/B0FMRTJNZL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,31999,https://laptopmedia.com/laptop-specs/hp-14-10406/,https://www.amazon.com/exec/obidos/ASIN/B0FMRTFNSF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 15,Intel Core i5-1334U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,118999,https://laptopmedia.com/laptop-specs/hp-15-24471/,https://www.amazon.com/exec/obidos/ASIN/B0DBX7GYSR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core i5-1334U,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,80299,https://laptopmedia.com/laptop-specs/hp-17-21678/,https://www.amazon.com/exec/obidos/ASIN/B0FNG9Q8B1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 14,Intel Processor N150,4GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,31999,https://laptopmedia.com/laptop-specs/hp-14-10317/,https://www.amazon.com/exec/obidos/ASIN/B0F8KQRT93?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
HP 17,Intel Core 7 150U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, HD+ (1600 x 900), TN",1000GB SSD,93900,https://laptopmedia.com/laptop-specs/hp-17-20345/,https://www.amazon.com/exec/obidos/ASIN/B0FRPLYWN5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
